invoice_and_item_number,date,store_number,store_name,address,city,zip_code,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-23979200038,2019-12-17,3723,J D SPIRITS LIQUOR,1023  9TH ST,ONAWA,51040.0,67,MONONA,1082000.0,IMPORTED CORDIALS & LIQUEURS,192.0,"MAST-JAGERMEISTER US, INC",65259,JAGERMEISTER LIQUEUR MINI MEISTERS,12,20,4.93,7.4,1,7.4,0.02,0.0
INV-21066100025,2019-08-06,5153,OAK STREET STATION LLC,2403 US HWY 18,INWOOD,51240,60,LYON,1082000.0,IMPORTED CORDIALS & LIQUEURS,192,"MAST-JAGERMEISTER US, INC",65259,JAGERMEISTER MINI MEISTERS,12,20,4.93,7.4,1,7.4,0.02,0.0
INV-44930200017,2022-02-21,4521,CASEY'S GENERAL STORE #1002 / GRAND JUNCTION,504 16TH ST N,GRAND JUNCTION,50107.0,37,GREENE,1082100.0,IMPORTED CORDIALS & LIQUEURS,192,"MAST-JAGERMEISTER US, INC",65259,JAGERMEISTER LIQUEUR MINI MEISTERS,12,20,4.93,7.4,1,7.4,0.02,0.0
INV-48002500074,2022-06-03,6129,EAST END LIQUOR / DES MOINES,3804 HUBBELL AVE,DES MOINES,50317,77,POLK,1082100.0,IMPORTED CORDIALS & LIQUEURS,192,"MAST-JAGERMEISTER US, INC",65259,JAGERMEISTER LIQUEUR MINI MEISTERS,12,20,5.63,8.45,1,8.45,0.02,0.0
S15955600159,2013-11-25,2508,HY-VEE FOOD STORE #1 / CEDAR RAPIDS,"1843 JOHNSON AVENUE, N.W.",CEDAR RAPIDS,52405,57,LINN,1012100.0,CANADIAN WHISKIES,65,JIM BEAM BRANDS,10624,CANADIAN CLUB WHISKY,24,375,4.28,6.42,5,32.1,1.88,0.5
INV-12719000031,2018-06-18,5364,STATION MART,3594 LAFAYETTE ROAD,EVANSDALE,50707,7,BLACK HAWK,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,10805,CROWN ROYAL REGAL APPLE,24,375,8.0,12.0,5,60.0,1.88,0.5
S32810000050,2016-06-13,4222,STATION MART LIQUOR AND TOBACCO,3594 LAFAYETTE ST,EVANSDALE,50707,,,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10805,CROWN ROYAL REGAL APPLE,24,375,7.75,11.63,5,58.15,1.88,0.5
S34036200016,2016-08-24,5098,BEST FOOD MART 3  LLC,1621 UNIVERSITY AVE,DES MOINES,50311,77,POLK,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10805,CROWN ROYAL REGAL APPLE,24,375,8.0,12.0,5,60.0,1.88,0.5
INV-09313200203,2017-12-19,2622,HY-VEE FOOD STORE / IOWA CITY,1125 N DODGE ST,IOWA CITY,52240,52,JOHNSON,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10805,CROWN ROYAL REGAL APPLE,24,375,8.0,12.0,5,60.0,1.88,0.5
INV-11970700083,2018-05-09,2616,HY-VEE FOOD AND DRUG / CLINTON,901 SOUTH 4TH ST,CLINTON,52732,23,CLINTON,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,10805,CROWN ROYAL REGAL APPLE,24,375,8.0,12.0,5,60.0,1.88,0.5
INV-08287600012,2017-10-27,4382,KUM & GO #8 / 8TH ST / WDM,1293 8TH AVE,WEST DES MOINES,50265,77,POLK,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10805,CROWN ROYAL REGAL APPLE,24,375,8.0,12.0,5,60.0,1.88,0.5
INV-05224500004,2017-05-31,4511,SUPER QUICK / SE 30 DM,303 SE 30TH ST,DES MOINES,50317.0,77,POLK,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10805,CROWN ROYAL REGAL APPLE,24,375,8.0,12.0,5,60.0,1.88,0.5
INV-07980400001,2017-10-13,5245,PHILLIPS 66,"1516, SE  1ST ST",DES MOINES,50315.0,77,POLK,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10805,CROWN ROYAL REGAL APPLE,24,375,8.0,12.0,5,60.0,1.88,0.5
INV-11580500034,2018-04-18,4635,KWIK SHOP #563 / CEDAR RAPIDS,1001 1ST AVE SW,CEDAR RAPIDS,52405,57,LINN,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,10805,CROWN ROYAL REGAL APPLE,24,375,8.0,12.0,5,60.0,1.88,0.5
S13715000253,2013-08-05,2616,HY-VEE FOOD AND DRUG / CLINTON,901 SOUTH 4TH ST,CLINTON,52732,23,CLINTON,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10834,CROWN ROYAL BLACK,24,375,8.25,12.38,5,61.9,1.88,0.5
S25297700099,2015-04-27,2555,HY-VEE FOOD STORE / KEOKUK,3111 MAIN,KEOKUK,52632,56,LEE,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11294,CROWN ROYAL CANADIAN WHISKY,24,375,7.75,11.63,5,58.15,1.88,0.5
INV-13173500039,2018-07-11,4428,KUM & GO #200 / AMES,4510 MORTENSEN RD,AMES,50014,85,STORY,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,11294,CROWN ROYAL CANADIAN WHISKY,24,375,8.0,12.0,5,60.0,1.88,0.5
S21377000023,2014-09-23,4355,KUM & GO #124 / STORY CITY,1554 BROAD ST,STORY CITY,50248,85,STORY,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11294,CROWN ROYAL CANADIAN WHISKY,24,375,7.75,11.63,5,58.15,1.88,0.5
INV-10452200055,2018-02-19,5236,"GIGGLE JUICE LIQUOR STATION, LLC",600 W MAIN ST,ANAMOSA,52205,53,JONES,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11294,CROWN ROYAL CANADIAN WHISKY,24,375,8.0,12.0,5,60.0,1.88,0.5
S19272400013,2014-06-02,3907,SMOKIN' JOE'S #16 TOBACCO AND LIQUOR,1504 PARK AVE,MUSCATINE,52761,70,MUSCATINE,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11294,CROWN ROYAL CANADIAN WHISKY,24,375,7.65,11.48,5,57.4,1.88,0.5
INV-03121100009,2017-02-07,5057,KUM & GO #535 / DES MOINES,4960 E BROADWAY AVE,DES MOINES,50317,77,POLK,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11294,CROWN ROYAL CANADIAN WHISKY,24,375,8.0,12.0,5,60.0,1.88,0.5
S07860800023,2012-09-20,4025,KARAM KAUR KHASRIYA LLC,702 13TH ST,BELLE PLAINE,52208,6,BENTON,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11294,CROWN ROYAL CANADIAN WHISKY,24,375,7.36,11.04,5,55.2,1.88,0.5
S26822000011,2015-07-20,4402,KUM & GO #80 / RIVERSIDE,1178 ENTERPRISE DR,RIVERSIDE,52327,92,WASHINGTON,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11294,CROWN ROYAL CANADIAN WHISKY,24,375,7.75,11.63,5,58.15,1.88,0.5
S11695400023,2013-04-18,4433,KUM & GO #24  PLEASANT HILL,5970 MORNING STAR CT,PLEASANT HILL,50317,77,POLK,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11294,CROWN ROYAL CANADIAN WHISKY,24,375,7.36,11.04,5,55.2,1.88,0.5
S29900500023,2015-12-29,4568,SELECT MART   FLOYD BLVD,4103 FLOYD BLVD,SIOUX CITY,51108,97,WOODBURY,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11294,CROWN ROYAL CANADIAN WHISKY,24,375,7.75,11.63,5,58.15,1.88,0.5
